"sequence","count","total_length","percent_repeat","LINE","SINE","LTR","DNA","Simple_repeat","Satellite","Low_complexity"
"unassigned-0000377",828,138661,NA,2705,32834,29454,1296,17239,0,16023
"unassigned-0000378",513,99355,NA,14045,21048,21080,774,17915,0,453
"unassigned-0000379",575,96757,NA,2164,21786,25089,774,20603,0,548
"unassigned-0000380",160,30870,NA,541,6060,5896,260,3299,0,2748
"unassigned-0000381",193,31303,NA,541,8178,6392,419,4264,0,3606
"unassigned-0000382",1108,188764,NA,3787,42242,41950,1907,21498,0,21016
"unassigned-0000383",619,105189,NA,2164,23241,23724,1036,12817,0,11244
"unassigned-0000384",258,44444,NA,1195,9463,12201,258,9999,0,277
"unassigned-0000385",386,67493,NA,1353,15088,12935,780,13796,0,608
"unassigned-0000386",388,68643,NA,1353,14717,14141,776,7387,0,7035
"unassigned-0000387",174,28979,NA,654,6277,6446,253,2617,0,4721
"unassigned-0000388",248,43307,NA,767,9719,6824,506,4518,0,5859
"unassigned-0000389",277,48457,NA,1195,9439,13382,253,4757,0,5891
"unassigned-0000390",488,82762,NA,1962,18102,19945,766,8611,0,10801
"unassigned-0000391",599,104313,NA,2616,24186,23343,1037,22428,0,564
"unassigned-0000393",727,125847,NA,3157,29476,25859,1298,27473,0,705
"unassigned-0000394",805,138869,NA,3541,32881,30126,1300,29470,0,768
"unassigned-0000395",185,32688,NA,924,6968,9312,258,7602,0,141
"unassigned-0000396",159,26920,NA,541,6026,6629,419,5406,0,229
"unassigned-0000397",8533,2784761,NA,239231,98440,165425,18131,299845,1399169,1454
"unassigned-0000398",226,57744,NA,18377,11740,8444,609,7848,0,202
"unassigned-0000399",257,42993,NA,589,10247,6118,516,4713,0,5607
"unassigned-0000400",128,7270,NA,0,0,0,0,5547,0,1723
"unassigned-0000401",5,113618,NA,0,0,0,0,113464,154,0
"unassigned-0000402",145,81177,NA,0,0,0,0,52101,29076,0
"unassigned-0000403",260,46459,NA,1082,9556,11356,359,4891,0,4490
"unassigned-0000404",142,24378,NA,541,6074,4301,260,2927,0,2802
"unassigned-0000405",91,27039,NA,12542,5218,6735,1959,381,0,0
"unassigned-0000407",330,97102,NA,35009,14901,26180,987,8227,0,350
"unassigned-0000408",238,41815,NA,541,8909,7351,516,4871,0,4427
"unassigned-0000409",224,37082,NA,1082,8927,8493,258,4176,0,3531
"unassigned-0000411",344,57412,NA,1622,10907,16212,516,12764,0,480
"unassigned-0000412",285,131207,NA,8290,14510,10873,925,6779,89058,0
"unassigned-0000413",500,89417,NA,1623,20285,18109,1036,9302,0,9536
"unassigned-0000414",160,28255,NA,541,6054,6118,361,5402,0,300
"unassigned-0000415",528,95362,NA,1623,21274,21022,1036,9946,0,10560
"unassigned-0000416",697,124654,NA,2616,26985,26861,1296,12318,0,16580
"unassigned-0000417",139,24853,NA,383,5477,5879,260,2403,0,2882
"unassigned-0000418",166,27921,NA,811,6496,5909,253,6770,0,189
"unassigned-0000419",175,29685,NA,654,7782,6945,260,3114,0,3072
"unassigned-0000421",311,53270,NA,1195,12074,11946,511,5336,0,6826
"unassigned-0000423",245,40575,NA,1352,9207,11917,258,3776,0,6361
"unassigned-0000424",165,29290,NA,811,6723,6985,260,2663,0,4270
"unassigned-0000425",253,43819,NA,1038,8739,8497,512,9613,0,364
"unassigned-0000426",346,60530,NA,1622,12590,15955,518,6597,0,7914
"unassigned-0000427",130,34668,NA,11879,8404,6211,7117,867,0,120
"unassigned-0000430",178,30628,NA,811,6697,8155,260,3429,0,3604
"unassigned-0000431",172,28481,NA,808,6723,8012,159,3092,0,3873
"unassigned-0000432",234,41437,NA,812,8626,8633,359,4173,0,4069
"unassigned-0000433",153,25489,NA,541,6064,4789,260,5825,0,200
"unassigned-0000434",491,83855,NA,1623,18324,20193,778,9600,0,10084
"unassigned-0000435",348,61945,NA,1082,12184,12727,615,12490,0,334
"unassigned-0000436",228,39726,NA,811,9539,11179,419,8382,0,277
"unassigned-0000437",168,29145,NA,541,7150,5536,417,3455,0,3687
"unassigned-0000438",160,27934,NA,541,6499,6053,419,2817,0,3381
"unassigned-0000439",190,36316,NA,541,6989,6285,520,7097,0,274
"unassigned-0000440",376,73627,NA,5947,14171,15799,773,13110,1888,421
"unassigned-0000441",52,2941,NA,0,0,0,0,2941,0,0
"unassigned-0000442",93,5184,NA,0,0,0,0,5184,0,0
"unassigned-0000443",42,2338,NA,0,0,0,0,2338,0,0
"unassigned-0000444",42,2338,NA,0,0,0,0,2338,0,0
"unassigned-0000445",149,8335,NA,0,0,0,0,6833,0,1502
"unassigned-0000446",325,54474,NA,1308,12687,10583,677,13478,0,418
"unassigned-0000447",351,60632,NA,1622,12985,15910,516,6062,0,8453
"unassigned-0000448",102,5712,NA,0,0,0,0,4648,0,1064
"unassigned-0000449",58,3224,NA,0,0,0,0,3224,0,0
"unassigned-0000450",260,113247,NA,6961,15720,11059,2259,4633,72092,112
"unassigned-0000451",993,172073,NA,3516,39959,41219,1814,18932,0,17867
"unassigned-0000452",649,115611,NA,2164,26910,24610,1300,12660,0,11695
"unassigned-0000453",273,46980,NA,1082,11458,9341,520,4851,0,4562
"unassigned-0000454",590,99599,NA,2164,24241,23209,1040,11034,0,11734
"unassigned-0000455",317,54138,NA,1082,12111,12726,520,11242,0,370
"unassigned-0000456",181,30540,NA,541,8719,6088,260,6799,0,227
"unassigned-0000457",327,54551,NA,1082,13280,12395,516,10977,0,364
"unassigned-0000458",545,94064,NA,1623,21756,19273,1034,18922,0,708
"unassigned-0000459",435,71440,NA,1623,18125,18001,679,8100,0,8045
"unassigned-0000460",290,47262,NA,1082,11982,12157,518,10772,0,391
"unassigned-0000461",378,66139,NA,1849,16333,15913,520,7499,0,7735
"unassigned-0000462",574,103672,NA,2616,23578,21642,1034,11524,0,11996
"unassigned-0000463",191,31255,NA,654,8734,6287,258,3767,0,3579
"unassigned-0000464",592,102311,NA,2243,24118,22800,1031,20442,0,742
"unassigned-0000465",259,42752,NA,1352,9745,13551,253,4859,0,5118
"unassigned-0000466",285,46639,NA,1352,11874,13256,412,4812,0,6951
"unassigned-0000467",469,81604,NA,1623,18507,19572,776,8152,0,9924
"unassigned-0000468",435,111511,NA,57731,25105,13718,10976,2410,0,689
"unassigned-0000469",159,28526,NA,541,6025,6062,260,3180,0,2867
"unassigned-0000470",208,35751,NA,1037,7735,9988,252,8547,0,272
"unassigned-0000471",144,24856,NA,654,6016,5367,260,2787,0,3122
"unassigned-0000472",479,81355,NA,1623,18198,19315,778,17190,0,524
"unassigned-0000473",420,72898,NA,1623,15533,18487,516,15265,0,358
"unassigned-0000474",326,56369,NA,1082,12109,12658,518,11639,0,358
"unassigned-0000475",216,36553,NA,1082,8041,11121,258,7964,0,222
"unassigned-0000476",200,34370,NA,541,7730,6204,516,7887,0,326
"unassigned-0000477",306,52241,NA,811,11552,12053,516,11568,0,295
"unassigned-0000478",152,25398,NA,654,5899,6922,253,2560,0,2831
"unassigned-0000479",327,93303,NA,51586,20286,12168,6682,1409,0,478
"unassigned-0000480",291,51674,NA,1195,9755,13100,506,4918,0,7006
"unassigned-0000481",300,51887,NA,1195,11533,12137,513,11041,0,319
"unassigned-0000482",199,32962,NA,811,7017,8382,417,8072,0,219
"unassigned-0000483",499,87379,NA,2433,17587,25356,617,18046,0,554
"unassigned-0000484",251,45100,NA,1308,9600,10418,260,10030,0,208
"unassigned-0000485",193,33234,NA,654,8058,5513,260,7204,0,185
"unassigned-0000487",297,52284,NA,1308,9918,13461,506,5069,0,6732
"unassigned-0000489",423,72037,NA,1962,16515,21464,506,15064,0,494
"unassigned-0000490",315,54701,NA,1196,12216,13436,506,11721,0,381
"unassigned-0000492",352,61522,NA,1082,14075,13339,520,6881,0,9843
"unassigned-0000493",194,31916,NA,541,8252,6499,419,7246,0,289
"unassigned-0000494",225,38914,NA,812,8396,6549,359,7297,0,298
"unassigned-0000495",429,70225,NA,1623,17248,17714,518,8693,0,8305
"unassigned-0000496",251,43579,NA,1195,8815,9278,347,4490,0,4740
"unassigned-0000497",306,53995,NA,1195,12142,12652,513,6030,0,6442
"unassigned-0000498",186,32736,NA,811,7770,8092,253,3390,0,4509
"unassigned-0000499",336,55918,NA,1352,12465,14592,361,11616,0,304
"unassigned-0000500",520,83099,NA,2163,19507,22945,776,19547,0,545
"unassigned-0000501",233,41568,NA,654,8687,6565,513,4906,0,5328
"unassigned-0000502",178,30352,NA,541,6341,5881,518,3094,0,4639
"unassigned-0000503",294,48760,NA,1147,11860,9008,518,5999,0,4691
"unassigned-0000504",182,40254,NA,14540,16451,3866,4228,598,0,53
"unassigned-0000505",331,56388,NA,1308,12486,12815,520,6607,0,7274
"unassigned-0000506",671,114575,NA,2503,24451,26749,1040,26504,0,886
"unassigned-0000507",426,70815,NA,1962,15368,19899,518,16490,0,520
"unassigned-0000508",263,45063,NA,1195,9223,10775,260,4563,0,5931
"unassigned-0000509",555,95927,NA,1962,20739,19506,1038,10312,0,12679
"unassigned-0000510",423,73209,NA,1849,17345,12915,780,8235,0,9050
"unassigned-0000511",259,46975,NA,1195,9433,10337,361,5126,0,5260
"unassigned-0000512",163,30121,NA,654,6016,5062,359,3349,0,3518
"unassigned-0000513",364,67744,NA,1421,14921,11948,778,7579,0,8218
"unassigned-0000514",703,120629,NA,3270,28020,28939,1038,26203,0,628
"unassigned-0000515",160,30701,NA,541,6072,6149,260,2670,0,3143
"unassigned-0000516",233,48116,NA,5238,9090,7699,529,4768,2037,4488
"unassigned-0000517",318,54594,NA,1195,12572,11545,518,6666,0,6135
"unassigned-0000519",328,55946,NA,1622,12691,16024,253,6384,0,6359
"unassigned-0000520",157,27482,NA,811,6003,6032,258,3080,0,3766
"unassigned-0000521",216,36485,NA,811,8707,8671,417,8586,0,285
"unassigned-0000523",303,53944,NA,1308,11251,12424,520,5493,0,7435
"unassigned-0000524",377,62179,NA,1464,15460,15280,513,13619,0,485
"unassigned-0000525",165,25109,NA,811,6697,8143,258,2722,0,3554
"unassigned-0000527",291,49132,NA,1195,11845,9096,520,5560,0,5320
"unassigned-0000528",249,43009,NA,812,10193,6615,518,9206,0,366
"unassigned-0000529",150,26232,NA,654,6017,4904,258,2845,0,3853
"unassigned-0000530",545,92500,NA,2657,22182,20337,774,10298,0,12001
"unassigned-0000531",326,60745,NA,1308,12036,9652,615,6383,0,8371
"unassigned-0000532",680,120412,NA,3044,27256,22701,1135,13699,0,14191
"unassigned-0000533",627,114097,NA,2616,24191,20427,1131,11998,0,15569
"unassigned-0000534",257,45586,NA,1195,10669,6915,516,5433,0,5615
"unassigned-0000535",310,52185,NA,1308,12042,10297,516,12310,0,387
"unassigned-0000536",188,33468,NA,654,6412,5398,357,7584,0,230
"unassigned-0000537",271,45922,NA,1308,9579,10495,359,10419,0,283
"unassigned-0000538",1378,236204,NA,5886,54330,50842,2223,54093,0,1766
"unassigned-0000539",244,40563,NA,1195,9226,10984,258,9689,0,235
"unassigned-0000540",279,49018,NA,1195,10641,9177,516,12037,0,384
"unassigned-0000541",256,41072,NA,1308,9896,10449,258,10031,0,235
"unassigned-0000542",1077,183503,NA,4578,42434,37800,1812,41243,0,1313
"unassigned-0000543",156,26340,NA,654,6096,5517,258,6104,0,199
"unassigned-0000544",645,110160,NA,2729,25383,23842,1036,25963,0,698
"unassigned-0000545",262,46179,NA,1308,10808,10275,258,5238,0,4718
"unassigned-0000546",204,32215,NA,925,8610,6137,258,4310,0,3483
"unassigned-0000547",231,41506,NA,1195,8881,6806,357,4874,0,4396
"unassigned-0000548",706,123377,NA,2616,27017,24160,1290,29374,0,965
"unassigned-0000549",165,27342,NA,654,6729,5399,260,6509,0,189
"unassigned-0000551",182,29833,NA,654,8009,5424,260,7679,0,186
"unassigned-0000552",189,32269,NA,654,8217,5061,419,8409,0,231
"unassigned-0000553",364,60866,NA,1577,14884,14929,520,13468,0,374
"unassigned-0000554",163,32702,NA,541,6103,6005,359,2972,0,2865
"unassigned-0000555",223,37848,NA,767,8860,6550,513,4539,0,5286
"unassigned-0000556",250,45444,NA,1082,9378,9722,359,5430,0,4315
"unassigned-0000557",276,48567,NA,1082,11511,8682,518,5727,0,5729
"unassigned-0000558",285,47710,NA,1082,10975,8892,516,10748,0,373
"unassigned-0000559",174,28504,NA,541,6261,7362,258,6177,0,231
"unassigned-0000561",205,36508,NA,811,8295,11724,260,7352,0,153
"unassigned-0000563",139,24740,NA,270,4677,5847,258,2790,0,3403
"unassigned-0000564",555,93562,NA,2433,20096,25451,774,21115,0,690
"unassigned-0000565",580,96593,NA,2164,22918,25753,774,20594,0,500
"unassigned-0000566",233,38850,NA,1081,9645,10369,258,4286,0,5400
"unassigned-0000567",431,76699,NA,1622,16447,19907,776,7570,0,8933
"unassigned-0000568",362,59495,NA,1622,13371,16809,516,13040,0,408
"unassigned-0000570",324,58525,NA,1308,12609,10166,516,6094,0,8071
"unassigned-0000571",194,32562,NA,767,7721,8330,258,7603,0,184
"unassigned-0000572",143,25473,NA,654,6015,4958,260,2963,0,2900
"unassigned-0000573",430,73959,NA,1962,15922,15740,615,16570,0,492
"unassigned-0000574",230,38927,NA,1081,7509,12866,260,9292,0,243
"unassigned-0000575",316,54808,NA,1308,12494,11641,518,5718,0,7566
"unassigned-0000576",150,25996,NA,654,6023,5388,101,5979,0,141
"unassigned-0000577",531,89423,NA,2503,21275,20629,780,20254,0,506
"unassigned-0000578",323,56734,NA,1308,12018,10948,614,12442,0,330
"unassigned-0000579",1411,245243,NA,5886,56467,48406,2598,56221,0,1486
"unassigned-0000580",173,29542,NA,654,7167,5196,417,3257,0,4825
"unassigned-0000581",414,78012,NA,1421,15294,13036,873,8365,0,10537
"unassigned-0000582",438,101507,NA,20865,18831,22415,1346,7267,0,9505
"unassigned-0000583",305,52001,NA,1082,11653,11205,516,6586,0,5525
"unassigned-0000584",319,51804,NA,1622,12493,16305,419,12666,0,427
"unassigned-0000585",704,115337,NA,3244,25970,33420,776,26590,0,825
"unassigned-0000586",260,45379,NA,1351,9061,15510,260,4656,0,6628
"unassigned-0000587",499,88061,NA,2433,17253,23682,778,9276,0,11727
"unassigned-0000588",690,121397,NA,3244,26874,32331,937,11980,0,16504
"unassigned-0000589",318,57466,NA,1622,11830,14073,518,5279,0,8940
"unassigned-0000590",272,47928,NA,1082,11375,8205,516,5714,0,5919
"unassigned-0000591",471,83850,NA,1892,17453,20622,778,8904,0,11408
"unassigned-0000592",344,59771,NA,1622,13428,16006,518,6264,0,7932
"unassigned-0000593",236,40193,NA,1195,9280,12454,253,4624,0,4345
"unassigned-0000594",474,80156,NA,1849,18103,20670,766,8132,0,9890
"unassigned-0000595",553,97700,NA,1624,20828,24357,986,10892,0,12062
"unassigned-0000596",196,31221,NA,767,8067,6825,253,3249,0,3849
"unassigned-0000597",399,67341,NA,1764,14880,16721,506,14436,0,444
"unassigned-0000598",251,44128,NA,1137,8629,8920,506,4247,0,5494
"unassigned-0000599",253,45217,NA,1082,9208,9790,361,5014,0,4570
"unassigned-0000600",1243,212828,NA,4554,48297,49665,2072,44925,0,1600
"unassigned-0000602",229,40631,NA,1195,8902,6806,357,4526,0,4980
"unassigned-0000603",199,33808,NA,811,7291,11003,258,6482,0,182
"unassigned-0000604",629,111330,NA,2616,24215,27462,1036,24033,0,709
"unassigned-0000605",353,60322,NA,1465,12828,15719,518,13159,0,350
"unassigned-0000606",632,111036,NA,2616,24145,23959,1139,11494,0,14642
"unassigned-0000607",262,47794,NA,1082,9981,11251,361,4941,0,4841
"unassigned-0000608",212,38010,NA,812,8429,5802,354,4167,0,3331
"unassigned-0000609",449,77946,NA,1736,17490,18242,780,8827,0,7794
"unassigned-0000610",360,63193,NA,1082,14366,12099,780,7183,0,6686
"unassigned-0000611",521,94544,NA,1962,20323,20339,1040,20534,0,559
"unassigned-0000612",152,27072,NA,654,5974,6306,260,2469,0,3570
"unassigned-0000613",684,122783,NA,2692,26976,25484,1300,27238,0,726
"unassigned-0000614",289,47298,NA,1308,12101,13174,419,5290,0,6416
"unassigned-0000615",530,92924,NA,1962,20959,23079,939,9590,0,12754
"unassigned-0000617",187,31946,NA,654,8217,5578,419,7470,0,248
"unassigned-0000619",376,65128,NA,1849,14581,17698,513,14255,0,397
"unassigned-0000620",244,43453,NA,925,8611,8404,518,4375,0,5347
"unassigned-0000621",228,38875,NA,925,8611,6652,357,8827,0,235
"unassigned-0000622",158,27496,NA,654,5894,6006,258,3027,0,3832
"unassigned-0000623",412,70799,NA,1623,15450,18001,520,8014,0,6968
"unassigned-0000624",509,91444,NA,1849,20663,15990,1034,10782,0,11217
"unassigned-0000625",154,26072,NA,654,5415,6799,101,2871,0,2568
"unassigned-0000626",183,31237,NA,654,6476,9331,258,6550,0,200
"unassigned-0000627",314,54369,NA,1308,11618,14648,347,11162,0,237
"unassigned-0000628",229,41518,NA,654,8437,6646,518,4282,0,6070
"unassigned-0000629",328,55093,NA,1081,11832,13768,518,12663,0,360
"unassigned-0000630",158,27185,NA,654,5665,7331,260,5523,0,141
"unassigned-0000631",157,26677,NA,541,6035,6011,260,3340,0,2700
"unassigned-0000633",221,36758,NA,1195,8313,9768,260,4174,0,5209
"unassigned-0000634",162,29192,NA,654,6033,6926,253,2808,0,3411
"unassigned-0000635",527,92308,NA,2433,20149,23901,778,10252,0,11750
"unassigned-0000636",350,60964,NA,1308,12384,12959,778,6457,0,8656
"unassigned-0000637",170,28199,NA,654,7273,5796,258,6319,0,199
"unassigned-0000638",406,69098,NA,1849,17370,15793,675,7560,0,9823
"unassigned-0000639",290,50807,NA,1195,9846,12417,506,4586,0,7100
"unassigned-0000640",517,87570,NA,1623,20626,19683,935,18740,0,635
"unassigned-0000641",185,31387,NA,541,7211,8404,258,6696,0,234
"unassigned-0000642",573,99080,NA,2503,21484,21180,873,21839,0,694
"unassigned-0000643",164,28802,NA,654,6032,5280,412,3416,0,3389
"unassigned-0000644",431,74146,NA,1623,15570,16126,774,8794,0,8165
"unassigned-0000645",158,27486,NA,541,6043,6170,258,3162,0,3376
"unassigned-0000646",237,39657,NA,654,8915,9689,516,5322,0,4677
"unassigned-0000647",397,68505,NA,1352,15600,17419,675,15357,0,400
"unassigned-0000648",233,40842,NA,933,8836,6669,516,8508,0,244
"unassigned-0000649",303,48581,NA,1082,12063,11641,417,5421,0,6514
"unassigned-0000650",239,39584,NA,541,8868,9215,518,5394,0,5101
"unassigned-0000651",189,31312,NA,541,7478,5952,258,3376,0,3539
"unassigned-0000652",196,33311,NA,767,6730,10013,253,3457,0,4229
"unassigned-0000653",281,48942,NA,1082,10599,10222,506,10848,0,338
"unassigned-0000657",187,32657,NA,811,7027,8912,260,3588,0,4325
"unassigned-0000658",365,62784,NA,1622,14124,17013,518,13879,0,461
"unassigned-0000659",515,104349,NA,16727,21837,21112,778,8151,0,11539
"unassigned-0000660",501,87076,NA,1623,18326,19197,1038,18561,0,711
"unassigned-0000662",342,59823,NA,1308,12073,11585,774,13969,0,453
"unassigned-0000663",498,86365,NA,2464,21479,15359,933,9133,0,13138
"unassigned-0000664",66,16767,NA,6838,5094,999,3521,263,0,52
"unassigned-0000665",156,26335,NA,541,5965,6030,260,3249,0,2557
"unassigned-0000666",451,78835,NA,1962,17727,15256,774,8309,0,11315
"unassigned-0000668",155,26258,NA,541,6022,6231,260,2839,0,2646
"unassigned-0000669",213,37010,NA,654,8182,6840,506,3836,0,4831
"unassigned-0000670",293,79746,NA,31959,14112,19434,11841,2252,0,78
"unassigned-0000671",298,78998,NA,32700,16464,16002,11167,2366,0,229
"unassigned-0000672",497,89077,NA,2433,17875,24116,778,8903,0,12007
"unassigned-0000673",459,90613,NA,15970,18857,19771,778,16483,0,567
"unassigned-0000674",545,92270,NA,2345,21772,21385,774,22090,0,662
"unassigned-0000675",327,58457,NA,1308,12558,14098,665,12664,0,373
"unassigned-0000677",201,34459,NA,654,8224,6462,417,8589,0,380
"unassigned-0000678",376,62081,NA,1308,14129,12880,780,7034,0,8868
"unassigned-0000680",574,99059,NA,2164,21606,24133,1036,19029,0,762
"unassigned-0000681",348,58749,NA,1352,12778,14080,612,6454,0,7090
"unassigned-0000682",201,37317,NA,654,7692,4651,520,4133,0,5097
"unassigned-0000683",529,93872,NA,2075,20822,16506,1038,10741,0,12202
"unassigned-0000684",308,50040,NA,1082,12134,12779,417,11299,0,330
"unassigned-0000685",614,106719,NA,2616,25019,19805,1032,11647,0,15592
"unassigned-0000686",816,141654,NA,3811,33015,28876,1290,14954,0,20600
"unassigned-0000687",611,124521,NA,18043,26435,19890,1383,10838,0,14448
"unassigned-0000688",154,26696,NA,934,6021,5592,258,6118,0,183
"unassigned-0000689",241,39453,NA,1308,9824,10390,258,9537,0,326
"unassigned-0000690",310,53918,NA,1195,12204,11238,520,6425,0,6776
"unassigned-0000691",368,66561,NA,1308,15035,11732,780,14098,0,415
"unassigned-0000692",150,57244,NA,6902,2464,4873,734,980,19619,82
"unassigned-0000694",592,108070,NA,2616,23479,27426,1040,22328,0,714
"unassigned-0000695",409,71770,NA,1579,16459,15256,776,7700,0,7001
"unassigned-0000696",308,61351,NA,1308,11995,11095,776,6030,822,6665
"unassigned-0000697",167,29223,NA,654,7446,5957,258,6687,0,186
"unassigned-0000698",333,56954,NA,1308,12214,13918,506,13333,0,386
"unassigned-0000699",319,55046,NA,1308,11604,13077,506,5474,0,7617
"unassigned-0000700",321,52915,NA,1308,12072,13626,511,5563,0,7504
"unassigned-0000701",218,39676,NA,654,7507,6843,511,3932,0,5418
"unassigned-0000702",886,153885,NA,3924,35331,34909,1296,16846,0,19086
"unassigned-0000703",355,60978,NA,1736,14032,14896,511,6308,0,7877
"unassigned-0000704",184,32288,NA,654,7276,6612,412,3362,0,4616
"unassigned-0000706",154,26706,NA,654,5628,6887,253,5426,0,155
"unassigned-0000707",432,72040,NA,1623,17190,18187,675,9048,0,7882
"unassigned-0000708",167,37033,NA,13842,15396,1184,4996,477,0,81
"unassigned-0000709",507,89151,NA,1962,18568,16206,1033,20782,0,528
"unassigned-0000710",384,64213,NA,1849,15480,15164,518,14773,0,424
"unassigned-0000711",281,47294,NA,1038,11282,7780,516,10710,0,416
"unassigned-0000713",480,83856,NA,1962,18380,19300,778,8581,0,11324
"unassigned-0000714",318,55354,NA,1195,12094,12823,679,5951,0,6955
"unassigned-0000715",358,61315,NA,1622,13436,16840,516,13289,0,449
"unassigned-0000719",182,32577,NA,654,6035,6493,357,3281,0,4468
"unassigned-0000720",161,40620,NA,13407,8737,5567,260,4037,0,186
"unassigned-0000721",382,65881,NA,1623,14979,17205,516,7262,0,8160
"unassigned-0000722",438,74345,NA,1353,17396,14696,776,16473,0,511
"unassigned-0000723",370,67336,NA,1579,14669,13147,619,6958,0,7124
"unassigned-0000724",801,137152,NA,3157,30185,33558,1270,14393,0,17803
"unassigned-0000725",842,147127,NA,3541,33897,26843,1558,16610,0,18587
"unassigned-0000726",234,41015,NA,1195,9440,9691,260,4664,0,4890
"unassigned-0000727",896,151877,NA,3383,33203,34803,1558,35614,0,1210
"unassigned-0000728",207,33358,NA,654,8263,6766,419,8420,0,318
"unassigned-0000729",463,77741,NA,1962,18244,21822,759,16669,0,469
"unassigned-0000731",794,135703,NA,3244,29596,35949,1296,30265,0,1020
"unassigned-0000732",170,30504,NA,811,6691,8354,101,2967,0,3869
"unassigned-0000733",253,44775,NA,811,9428,8345,520,10549,0,330
"unassigned-0000734",182,30200,NA,654,7723,7130,253,6533,0,186
"unassigned-0000735",480,84989,NA,1736,18335,20980,780,9128,0,10690
"unassigned-0000736",205,34008,NA,1082,7684,9449,260,7604,0,275
"unassigned-0000738",326,57319,NA,1352,12839,13129,520,6060,0,7932
"unassigned-0000739",186,31077,NA,654,6732,8380,258,3569,0,3645
"unassigned-0000740",170,28447,NA,654,6207,6745,253,2796,0,3772
"unassigned-0000742",410,67400,NA,1893,15808,18285,518,14877,0,524
"unassigned-0000743",532,95444,NA,2120,20189,20967,1035,19745,0,656
"unassigned-0000744",298,49385,NA,1082,11830,10009,516,10266,0,326
"unassigned-0000745",446,77533,NA,1962,18189,20225,679,17588,0,563
"unassigned-0000746",454,73306,NA,1893,17665,20783,513,15845,0,422
"unassigned-0000747",208,44211,NA,9519,29068,1758,1136,481,0,83
"unassigned-0000748",167,28471,NA,541,6631,6767,258,3332,0,3156
"unassigned-0000749",157,27361,NA,654,5815,6744,260,2715,0,3505
"unassigned-0000751",989,174985,NA,3517,38866,37802,1649,19475,0,18935
"unassigned-0000752",356,60565,NA,1353,14295,13404,516,12431,0,379
"unassigned-0000753",288,50952,NA,1082,11553,12712,361,9310,0,402
"unassigned-0000754",315,57549,NA,1082,12170,12480,518,10733,0,408
"unassigned-0000755",130,30755,NA,10679,9529,6597,1172,1517,0,545
"unassigned-0000756",468,82639,NA,2163,16834,23056,619,16502,0,557
"unassigned-0000757",335,58414,NA,1421,13035,14410,520,6068,0,7096
"unassigned-0000758",258,46356,NA,1308,11078,11112,516,5074,0,5727
"unassigned-0000759",184,41800,NA,5189,6185,6674,519,3176,2212,3760
"unassigned-0000760",398,88467,NA,25348,46912,2503,9724,1880,0,334
"unassigned-0000761",441,76657,NA,1849,16463,15326,776,8453,0,10726
"unassigned-0000762",389,73488,NA,3369,14952,14853,774,14710,2212,541
"unassigned-0000763",181,35552,NA,654,6325,5341,516,3611,0,4474
"unassigned-0000764",779,135856,NA,3540,30703,27886,1290,15112,0,18667
"unassigned-0000765",621,109619,NA,2896,24328,20549,1032,11769,0,15416
"unassigned-0000766",370,63702,NA,1421,14923,15511,520,7089,0,8312
"unassigned-0000767",256,47329,NA,811,9586,11735,520,10702,0,263
"unassigned-0000768",309,53147,NA,1421,12508,10458,520,6000,0,6598
"unassigned-0000769",298,51943,NA,1308,12033,10149,520,5830,0,6827
"unassigned-0000770",282,46075,NA,1308,12034,10155,419,5359,0,6649
"unassigned-0000771",276,93012,NA,56642,19163,8643,7348,711,0,30
"unassigned-0000773",187,32472,NA,811,6905,9077,258,3289,0,4200
"unassigned-0000774",218,57092,NA,23059,13771,13059,5085,1771,0,80
"unassigned-0000775",284,50900,NA,1308,11782,11008,518,5444,0,5495
"unassigned-0000776",656,119383,NA,3157,27147,23417,1139,13792,0,13437
"unassigned-0000777",387,103469,NA,28845,16958,26393,1089,11856,0,550
"unassigned-0000778",589,144992,NA,36406,25719,37786,1347,17277,0,635
"unassigned-0000779",242,78574,NA,28191,10966,21868,827,6316,0,398
"unassigned-0000780",369,66270,NA,1421,14996,13339,778,14587,0,372
"unassigned-0000781",162,28265,NA,654,6106,5144,361,6698,0,141
"unassigned-0000782",451,89030,NA,9468,17475,21535,774,15521,1888,544
"unassigned-0000783",286,47352,NA,1082,11143,11846,520,6393,0,5171
"unassigned-0000784",194,31815,NA,541,8192,6187,417,4198,0,3812
"unassigned-0000785",174,58709,NA,33176,6444,12135,5790,823,0,326
"unassigned-0000786",248,79261,NA,29281,10676,21568,827,2340,0,4044
"unassigned-0000787",471,86539,NA,3357,19374,21199,778,7614,0,10552
"unassigned-0000788",138,24911,NA,541,4679,5770,258,2918,0,2967
"unassigned-0000789",913,157726,NA,4325,34048,42810,1291,17794,0,18725
"unassigned-0000790",189,32125,NA,811,6831,8295,417,3863,0,4235
"unassigned-0000791",500,88449,NA,1962,20188,15243,1034,10203,0,11340
"unassigned-0000792",395,68393,NA,1308,16215,10739,774,16021,0,562
"unassigned-0000793",289,47126,NA,1308,12052,10254,474,5824,0,6406
"unassigned-0000794",279,61262,NA,19146,22042,12986,4285,1668,0,219
"unassigned-0000795",216,74583,NA,30280,10899,22608,8674,1577,0,234
"unassigned-0000796",550,93702,NA,2616,23149,20102,778,10617,0,12803
"unassigned-0000797",519,91285,NA,2233,20665,17811,780,10043,0,10811
"unassigned-0000798",240,41582,NA,1351,8100,14533,258,9649,0,178
