sample	haplotype	contig	length
HG00639	haplotype1	HG00639#1#JBHIHE010000054.1	40228177
HG00639	haplotype1	HG00639#1#JBHIHE010000012.1	39898506
HG00639	haplotype1	HG00639#1#JBHIHE010000006.1	35744480
HG00639	haplotype1	HG00639#1#JBHIHE010000056.1	27047253
HG00639	haplotype1	HG00639#1#JBHIHE010000045.1	26221805
HG00639	haplotype1	HG00639#1#JBHIHE010000013.1	20259513
HG00639	haplotype1	HG00639#1#JBHIHE010000048.1	5691084
HG00639	haplotype1	HG00639#1#JBHIHE010000014.1	5555606
HG00639	haplotype1	HG00639#1#JBHIHE010000055.1	4559274
HG00639	haplotype1	HG00639#1#JBHIHE010000025.1	3786282
HG00639	haplotype1	HG00639#1#JBHIHE010000058.1	3251842
HG00639	haplotype1	HG00639#1#JBHIHE010000020.1	2997442
HG00639	haplotype1	HG00639#1#JBHIHE010000060.1	1366684
HG00639	haplotype1	HG00639#1#JBHIHE010000023.1	574221
HG00639	haplotype1	HG00639#1#JBHIHE010000061.1	559357
HG00639	haplotype1	HG00639#1#JBHIHE010000064.1	472029
HG00639	haplotype1	HG00639#1#JBHIHE010000031.1	441963
HG00639	haplotype1	HG00639#1#JBHIHE010000057.1	398946
HG00639	haplotype1	HG00639#1#JBHIHE010000030.1	342287
HG00639	haplotype1	HG00639#1#JBHIHE010000066.1	289348
HG00639	haplotype1	HG00639#1#JBHIHE010000063.1	248399
HG00639	haplotype1	HG00639#1#JBHIHE010000028.1	245197
HG00639	haplotype1	HG00639#1#JBHIHE010000034.1	182929
HG00639	haplotype1	HG00639#1#JBHIHE010000035.1	175751
HG00639	haplotype1	HG00639#1#JBHIHE010000027.1	161491
HG00639	haplotype1	HG00639#1#JBHIHE010000021.1	147755
HG00639	haplotype1	HG00639#1#JBHIHE010000024.1	139659
HG00639	haplotype1	HG00639#1#JBHIHE010000029.1	137434
HG00639	haplotype1	HG00639#1#JBHIHE010000033.1	134100
HG00639	haplotype1	HG00639#1#JBHIHE010000062.1	105654
HG00639	haplotype1	HG00639#1#JBHIHE010000065.1	96741
HG00639	haplotype1	HG00639#1#JBHIHE010000026.1	89540
HG00639	haplotype1	HG00639#1#JBHIHE010000038.1	87249
HG00639	haplotype1	HG00639#1#JBHIHE010000040.1	86397
HG00639	haplotype1	HG00639#1#JBHIHE010000037.1	84884
HG00639	haplotype1	HG00639#1#JBHIHE010000041.1	81376
HG00639	haplotype1	HG00639#1#JBHIHE010000018.1	77818
HG00639	haplotype1	HG00639#1#JBHIHE010000022.1	75205
HG00639	haplotype1	HG00639#1#JBHIHE010000071.1	74889
HG00639	haplotype1	HG00639#1#JBHIHE010000036.1	68658
HG00639	haplotype1	HG00639#1#JBHIHE010000032.1	66289
HG00639	haplotype1	HG00639#1#JBHIHE010000042.1	61727
HG00639	haplotype1	HG00639#1#JBHIHE010000070.1	59934
HG00639	haplotype1	HG00639#1#JBHIHE010000059.1	59697
HG00639	haplotype1	HG00639#1#JBHIHE010000073.1	59112
HG00639	haplotype1	HG00639#1#JBHIHE010000069.1	58520
HG00639	haplotype1	HG00639#1#JBHIHE010000067.1	56362
HG00639	haplotype1	HG00639#1#JBHIHE010000039.1	53677
HG00639	haplotype1	HG00639#1#JBHIHE010000043.1	53498
HG00639	haplotype1	HG00639#1#JBHIHE010000019.1	52334
HG00639	haplotype1	HG00639#1#JBHIHE010000068.1	51319
HG00639	haplotype1	HG00639#1#JBHIHE010000072.1	51311
HG00639	haplotype2	HG00639#2#CM088551.1	254770970
HG00639	haplotype2	HG00639#2#CM088552.1	202821403
HG00639	haplotype2	HG00639#2#CM088553.1	190505979
HG00639	haplotype2	HG00639#2#CM088554.1	184343747
HG00639	haplotype2	HG00639#2#CM088555.1	171560883
HG00639	haplotype2	HG00639#2#CM088556.1	160112428
HG00639	haplotype2	HG00639#2#JBHIHF010000042.1	154791889
HG00639	haplotype2	HG00639#2#JBHIHF010000003.1	153634261
HG00639	haplotype2	HG00639#2#CM088557.1	145941412
HG00639	haplotype2	HG00639#2#CM088558.1	134520068
HG00639	haplotype2	HG00639#2#CM088559.1	134204888
HG00639	haplotype2	HG00639#2#CM088560.1	133479696
HG00639	haplotype2	HG00639#2#JBHIHF010000006.1	98033365
HG00639	haplotype2	HG00639#2#JBHIHF010000005.1	97856283
HG00639	haplotype2	HG00639#2#JBHIHF010000002.1	97262407
HG00639	haplotype2	HG00639#2#JBHIHF010000008.1	95086986
HG00639	haplotype2	HG00639#2#CM088561.1	90384665
HG00639	haplotype2	HG00639#2#JBHIHF010000007.1	88863322
HG00639	haplotype2	HG00639#2#CM088562.1	78141283
HG00639	haplotype2	HG00639#2#CM088563.1	67467710
HG00639	haplotype2	HG00639#2#JBHIHF010000053.1	58231915
HG00639	haplotype2	HG00639#2#JBHIHF010000012.1	45616208
HG00639	haplotype2	HG00639#2#JBHIHF010000013.1	39669796
HG00639	haplotype2	HG00639#2#JBHIHF010000047.1	37443022
HG00639	haplotype2	HG00639#2#JBHIHF010000048.1	31444847
HG00639	haplotype2	HG00639#2#JBHIHF010000054.1	29592007
HG00639	haplotype2	HG00639#2#JBHIHF010000050.1	24398323
HG00639	haplotype2	HG00639#2#JBHIHF010000015.1	6632150
HG00639	haplotype2	HG00639#2#JBHIHF010000014.1	6255279
HG00639	haplotype2	HG00639#2#JBHIHF010000055.1	4094868
HG00639	haplotype2	HG00639#2#JBHIHF010000058.1	3800272
HG00639	haplotype2	HG00639#2#JBHIHF010000060.1	3595640
HG00639	haplotype2	HG00639#2#JBHIHF010000062.1	2451270
HG00639	haplotype2	HG00639#2#JBHIHF010000018.1	1275524
HG00639	haplotype2	HG00639#2#JBHIHF010000016.1	639200
HG00639	haplotype2	HG00639#2#JBHIHF010000027.1	519739
HG00639	haplotype2	HG00639#2#JBHIHF010000019.1	495017
HG00639	haplotype2	HG00639#2#JBHIHF010000026.1	482536
HG00639	haplotype2	HG00639#2#JBHIHF010000017.1	393367
HG00639	haplotype2	HG00639#2#JBHIHF010000064.1	362524
HG00639	haplotype2	HG00639#2#JBHIHF010000059.1	285872
HG00639	haplotype2	HG00639#2#JBHIHF010000021.1	245787
HG00639	haplotype2	HG00639#2#JBHIHF010000025.1	209048
HG00639	haplotype2	HG00639#2#JBHIHF010000068.1	182201
HG00639	haplotype2	HG00639#2#JBHIHF010000020.1	178165
HG00639	haplotype2	HG00639#2#JBHIHF010000023.1	177677
HG00639	haplotype2	HG00639#2#JBHIHF010000028.1	174830
HG00639	haplotype2	HG00639#2#JBHIHF010000032.1	173553
HG00639	haplotype2	HG00639#2#JBHIHF010000024.1	172388
HG00639	haplotype2	HG00639#2#JBHIHF010000029.1	151323
HG00639	haplotype2	HG00639#2#JBHIHF010000038.1	142344
HG00639	haplotype2	HG00639#2#JBHIHF010000069.1	130028
HG00639	haplotype2	HG00639#2#JBHIHF010000057.1	126719
HG00639	haplotype2	HG00639#2#JBHIHF010000061.1	124373
HG00639	haplotype2	HG00639#2#JBHIHF010000034.1	118742
HG00639	haplotype2	HG00639#2#JBHIHF010000022.1	118085
HG00639	haplotype2	HG00639#2#JBHIHF010000030.1	116015
HG00639	haplotype2	HG00639#2#JBHIHF010000073.1	109962
HG00639	haplotype2	HG00639#2#JBHIHF010000063.1	99131
HG00639	haplotype2	HG00639#2#JBHIHF010000070.1	99045
HG00639	haplotype2	HG00639#2#JBHIHF010000056.1	94184
HG00639	haplotype2	HG00639#2#JBHIHF010000065.1	92269
HG00639	haplotype2	HG00639#2#JBHIHF010000037.1	86555
HG00639	haplotype2	HG00639#2#JBHIHF010000072.1	86277
HG00639	haplotype2	HG00639#2#JBHIHF010000033.1	83904
HG00639	haplotype2	HG00639#2#JBHIHF010000071.1	78172
HG00639	haplotype2	HG00639#2#JBHIHF010000067.1	74899
HG00639	haplotype2	HG00639#2#JBHIHF010000035.1	73824
HG00639	haplotype2	HG00639#2#JBHIHF010000066.1	70819
HG00639	haplotype2	HG00639#2#JBHIHF010000078.1	65734
HG00639	haplotype2	HG00639#2#JBHIHF010000075.1	63679
HG00639	haplotype2	HG00639#2#JBHIHF010000079.1	62704
HG00639	haplotype2	HG00639#2#JBHIHF010000074.1	62663
HG00639	haplotype2	HG00639#2#JBHIHF010000031.1	60415
HG00639	haplotype2	HG00639#2#JBHIHF010000076.1	58112
HG00639	haplotype2	HG00639#2#JBHIHF010000039.1	57864
HG00639	haplotype2	HG00639#2#JBHIHF010000036.1	57611
HG00639	haplotype2	HG00639#2#JBHIHF010000040.1	52778
HG00639	haplotype2	HG00639#2#JBHIHF010000077.1	52395
HG00639	haplotype2	HG00639#2#JBHIHF010000080.1	16568
HG01252	haplotype1	HG01252#1#JBHIHY010000013.1	242219276
HG01252	haplotype1	HG01252#1#CM088822.1	200836075
HG01252	haplotype1	HG01252#1#CM088823.1	182620406
HG01252	haplotype1	HG01252#1#CM088824.1	174238076
HG01252	haplotype1	HG01252#1#CM088825.1	160162749
HG01252	haplotype1	HG01252#1#JBHIHY010000011.1	146471335
HG01252	haplotype1	HG01252#1#CM088826.1	146246496
HG01252	haplotype1	HG01252#1#CM088827.1	137865930
HG01252	haplotype1	HG01252#1#CM088828.1	135644138
HG01252	haplotype1	HG01252#1#CM088829.1	134144739
HG01252	haplotype1	HG01252#1#CM088830.1	133418975
HG01252	haplotype1	HG01252#1#JBHIHY010000009.1	128830189
HG01252	haplotype1	HG01252#1#JBHIHY010000039.1	114647957
HG01252	haplotype1	HG01252#1#JBHIHY010000019.1	105383961
HG01252	haplotype1	HG01252#1#JBHIHY010000006.1	97858072
HG01252	haplotype1	HG01252#1#JBHIHY010000014.1	95087448
HG01252	haplotype1	HG01252#1#CM088831.1	89242723
HG01252	haplotype1	HG01252#1#CM088832.1	82740417
HG01252	haplotype1	HG01252#1#CM088834.1	66374130
HG01252	haplotype1	HG01252#1#CM088833.1	62423868
HG01252	haplotype1	HG01252#1#JBHIHY010000016.1	61829244
HG01252	haplotype1	HG01252#1#JBHIHY010000017.1	45696935
HG01252	haplotype1	HG01252#1#CM088835.1	44120531
HG01252	haplotype1	HG01252#1#JBHIHY010000010.1	43034875
HG01252	haplotype1	HG01252#1#JBHIHY010000015.1	36783128
HG01252	haplotype1	HG01252#1#JBHIHY010000020.1	19043593
HG01252	haplotype1	HG01252#1#JBHIHY010000018.1	10385212
HG01252	haplotype1	HG01252#1#JBHIHY010000052.1	7015142
HG01252	haplotype1	HG01252#1#JBHIHY010000047.1	3478859
HG01252	haplotype1	HG01252#1#JBHIHY010000021.1	3292571
HG01252	haplotype1	HG01252#1#JBHIHY010000048.1	2845250
HG01252	haplotype1	HG01252#1#JBHIHY010000043.1	2732989
HG01252	haplotype1	HG01252#1#JBHIHY010000040.1	2553443
HG01252	haplotype1	HG01252#1#JBHIHY010000023.1	1300097
HG01252	haplotype1	HG01252#1#JBHIHY010000050.1	816467
HG01252	haplotype1	HG01252#1#JBHIHY010000024.1	591800
HG01252	haplotype1	HG01252#1#JBHIHY010000028.1	424522
HG01252	haplotype1	HG01252#1#JBHIHY010000025.1	409561
HG01252	haplotype1	HG01252#1#JBHIHY010000055.1	409447
HG01252	haplotype1	HG01252#1#JBHIHY010000022.1	317520
HG01252	haplotype1	HG01252#1#JBHIHY010000057.1	298646
HG01252	haplotype1	HG01252#1#JBHIHY010000053.1	229606
HG01252	haplotype1	HG01252#1#JBHIHY010000030.1	227608
HG01252	haplotype1	HG01252#1#JBHIHY010000026.1	217949
HG01252	haplotype1	HG01252#1#JBHIHY010000061.1	217888
HG01252	haplotype1	HG01252#1#JBHIHY010000058.1	190831
HG01252	haplotype1	HG01252#1#JBHIHY010000056.1	179995
HG01252	haplotype1	HG01252#1#JBHIHY010000064.1	179615
HG01252	haplotype1	HG01252#1#JBHIHY010000051.1	178645
HG01252	haplotype1	HG01252#1#JBHIHY010000049.1	176966
HG01252	haplotype1	HG01252#1#JBHIHY010000032.1	131166
HG01252	haplotype1	HG01252#1#JBHIHY010000054.1	115986
HG01252	haplotype1	HG01252#1#JBHIHY010000034.1	112118
HG01252	haplotype1	HG01252#1#JBHIHY010000037.1	98630
HG01252	haplotype1	HG01252#1#JBHIHY010000067.1	97448
HG01252	haplotype1	HG01252#1#JBHIHY010000060.1	89969
HG01252	haplotype1	HG01252#1#JBHIHY010000031.1	89009
HG01252	haplotype1	HG01252#1#JBHIHY010000035.1	88449
HG01252	haplotype1	HG01252#1#JBHIHY010000033.1	74894
HG01252	haplotype1	HG01252#1#JBHIHY010000029.1	73906
HG01252	haplotype1	HG01252#1#JBHIHY010000036.1	65716
HG01252	haplotype1	HG01252#1#JBHIHY010000062.1	64113
HG01252	haplotype1	HG01252#1#JBHIHY010000027.1	64066
HG01252	haplotype1	HG01252#1#JBHIHY010000065.1	62882
HG01252	haplotype1	HG01252#1#JBHIHY010000068.1	62749
HG01252	haplotype1	HG01252#1#JBHIHY010000066.1	62154
HG01252	haplotype1	HG01252#1#JBHIHY010000063.1	53721
HG01252	haplotype1	HG01252#1#JBHIHY010000059.1	50172
HG01252	haplotype2	HG01252#2#CM088852.1	241774336
HG01252	haplotype2	HG01252#2#CM088853.1	202866695
HG01252	haplotype2	HG01252#2#CM088854.1	184796619
HG01252	haplotype2	HG01252#2#CM088855.1	171819024
HG01252	haplotype2	HG01252#2#CM088856.1	160627180
HG01252	haplotype2	HG01252#2#CM088857.1	145523336
HG01252	haplotype2	HG01252#2#JBHIHZ010000001.1	141312410
HG01252	haplotype2	HG01252#2#CM088858.1	137779829
HG01252	haplotype2	HG01252#2#CM088859.1	135676466
HG01252	haplotype2	HG01252#2#CM088860.1	134681254
HG01252	haplotype2	HG01252#2#JBHIHZ010000045.1	133916461
HG01252	haplotype2	HG01252#2#JBHIHZ010000038.1	114546763
HG01252	haplotype2	HG01252#2#JBHIHZ010000003.1	111189562
HG01252	haplotype2	HG01252#2#JBHIHZ010000011.1	105215764
HG01252	haplotype2	HG01252#2#JBHIHZ010000040.1	98738420
HG01252	haplotype2	HG01252#2#JBHIHZ010000013.1	96950884
HG01252	haplotype2	HG01252#2#CM088861.1	88613707
HG01252	haplotype2	HG01252#2#JBHIHZ010000041.1	83005227
HG01252	haplotype2	HG01252#2#CM088862.1	82618286
HG01252	haplotype2	HG01252#2#CM088864.1	65375053
HG01252	haplotype2	HG01252#2#JBHIHZ010000043.1	61696324
HG01252	haplotype2	HG01252#2#CM088863.1	61018220
HG01252	haplotype2	HG01252#2#JBHIHZ010000044.1	52181195
HG01252	haplotype2	HG01252#2#JBHIHZ010000049.1	51663425
HG01252	haplotype2	HG01252#2#JBHIHZ010000016.1	45620488
HG01252	haplotype2	HG01252#2#JBHIHZ010000014.1	40991339
HG01252	haplotype2	HG01252#2#JBHIHZ010000015.1	19631945
HG01252	haplotype2	HG01252#2#JBHIHZ010000008.1	16292022
HG01252	haplotype2	HG01252#2#JBHIHZ010000051.1	12759510
HG01252	haplotype2	HG01252#2#JBHIHZ010000052.1	7158583
HG01252	haplotype2	HG01252#2#JBHIHZ010000042.1	5944464
HG01252	haplotype2	HG01252#2#JBHIHZ010000053.1	3599372
HG01252	haplotype2	HG01252#2#JBHIHZ010000056.1	3261658
HG01252	haplotype2	HG01252#2#JBHIHZ010000055.1	2641681
HG01252	haplotype2	HG01252#2#JBHIHZ010000020.1	1883228
HG01252	haplotype2	HG01252#2#JBHIHZ010000058.1	1767003
HG01252	haplotype2	HG01252#2#JBHIHZ010000057.1	1437283
HG01252	haplotype2	HG01252#2#JBHIHZ010000025.1	1131599
HG01252	haplotype2	HG01252#2#JBHIHZ010000022.1	902522
HG01252	haplotype2	HG01252#2#JBHIHZ010000059.1	885908
HG01252	haplotype2	HG01252#2#JBHIHZ010000021.1	566075
HG01252	haplotype2	HG01252#2#JBHIHZ010000062.1	540911
HG01252	haplotype2	HG01252#2#JBHIHZ010000024.1	474131
HG01252	haplotype2	HG01252#2#JBHIHZ010000060.1	463636
HG01252	haplotype2	HG01252#2#JBHIHZ010000063.1	407582
HG01252	haplotype2	HG01252#2#JBHIHZ010000064.1	392918
HG01252	haplotype2	HG01252#2#JBHIHZ010000061.1	345190
HG01252	haplotype2	HG01252#2#JBHIHZ010000067.1	316441
HG01252	haplotype2	HG01252#2#JBHIHZ010000066.1	289706
HG01252	haplotype2	HG01252#2#JBHIHZ010000018.1	260936
HG01252	haplotype2	HG01252#2#JBHIHZ010000033.1	228584
HG01252	haplotype2	HG01252#2#JBHIHZ010000071.1	205645
HG01252	haplotype2	HG01252#2#JBHIHZ010000028.1	189759
HG01252	haplotype2	HG01252#2#JBHIHZ010000050.1	151249
HG01252	haplotype2	HG01252#2#JBHIHZ010000036.1	138134
HG01252	haplotype2	HG01252#2#JBHIHZ010000023.1	128759
HG01252	haplotype2	HG01252#2#JBHIHZ010000054.1	127983
HG01252	haplotype2	HG01252#2#JBHIHZ010000017.1	125678
HG01252	haplotype2	HG01252#2#JBHIHZ010000027.1	121281
HG01252	haplotype2	HG01252#2#JBHIHZ010000019.1	111573
HG01252	haplotype2	HG01252#2#JBHIHZ010000069.1	104878
HG01252	haplotype2	HG01252#2#JBHIHZ010000030.1	104560
HG01252	haplotype2	HG01252#2#JBHIHZ010000026.1	101180
HG01252	haplotype2	HG01252#2#JBHIHZ010000032.1	88178
HG01252	haplotype2	HG01252#2#JBHIHZ010000068.1	80327
HG01252	haplotype2	HG01252#2#JBHIHZ010000034.1	68329
HG01252	haplotype2	HG01252#2#JBHIHZ010000072.1	60712
HG01252	haplotype2	HG01252#2#JBHIHZ010000073.1	60606
HG01252	haplotype2	HG01252#2#JBHIHZ010000065.1	59970
HG01252	haplotype2	HG01252#2#JBHIHZ010000074.1	59292
HG01252	haplotype2	HG01252#2#JBHIHZ010000029.1	58899
HG01252	haplotype2	HG01252#2#JBHIHZ010000035.1	56401
HG01252	haplotype2	HG01252#2#JBHIHZ010000031.1	53632
HG01252	haplotype2	HG01252#2#JBHIHZ010000070.1	51916
HG01252	haplotype2	HG01252#2#JBHIHZ010000075.1	16568
HG01361	haplotype1	HG01361#1#CM089019.1	247519237
HG01361	haplotype1	HG01361#1#CM089020.1	242695984
HG01361	haplotype1	HG01361#1#CM089021.1	200800509
HG01361	haplotype1	HG01361#1#CM089022.1	191319697
HG01361	haplotype1	HG01361#1#CM089023.1	182191846
HG01361	haplotype1	HG01361#1#CM089024.1	173688909
HG01361	haplotype1	HG01361#1#CM089034.1	154031596
HG01361	haplotype1	HG01361#1#CM089025.1	147437824
HG01361	haplotype1	HG01361#1#CM089026.1	135655967
HG01361	haplotype1	HG01361#1#CM089027.1	135296179
HG01361	haplotype1	HG01361#1#CM089028.1	134522544
HG01361	haplotype1	HG01361#1#CM089029.1	133662817
HG01361	haplotype1	HG01361#1#JAGYYX020000007.1	103428472
HG01361	haplotype1	HG01361#1#JAGYYX020000053.1	98621600
HG01361	haplotype1	HG01361#1#CM089030.1	97292521
HG01361	haplotype1	HG01361#1#JAGYYX020000001.1	96487646
HG01361	haplotype1	HG01361#1#CM089031.1	88442693
HG01361	haplotype1	HG01361#1#CM089032.1	80222484
HG01361	haplotype1	HG01361#1#CM089033.1	67071049
HG01361	haplotype1	HG01361#1#JAGYYX020000054.1	59375991
HG01361	haplotype1	HG01361#1#JAGYYX020000008.1	57362792
HG01361	haplotype1	HG01361#1#JAGYYX020000010.1	53494677
HG01361	haplotype1	HG01361#1#JAGYYX020000013.1	45290422
HG01361	haplotype1	HG01361#1#JAGYYX020000014.1	39131926
HG01361	haplotype1	HG01361#1#JAGYYX020000060.1	25151268
HG01361	haplotype1	HG01361#1#JAGYYX020000061.1	5627379
HG01361	haplotype1	HG01361#1#JAGYYX020000068.1	3370043
HG01361	haplotype1	HG01361#1#JAGYYX020000071.1	3344085
HG01361	haplotype1	HG01361#1#JAGYYX020000063.1	3274368
HG01361	haplotype1	HG01361#1#JAGYYX020000066.1	2942325
HG01361	haplotype1	HG01361#1#JAGYYX020000059.1	2616911
HG01361	haplotype1	HG01361#1#JAGYYX020000062.1	2294643
HG01361	haplotype1	HG01361#1#JAGYYX020000069.1	1464059
HG01361	haplotype1	HG01361#1#JAGYYX020000064.1	880333
HG01361	haplotype1	HG01361#1#JAGYYX020000027.1	769161
HG01361	haplotype1	HG01361#1#JAGYYX020000065.1	657880
HG01361	haplotype1	HG01361#1#JAGYYX020000070.1	487666
HG01361	haplotype1	HG01361#1#JAGYYX020000072.1	424879
HG01361	haplotype1	HG01361#1#JAGYYX020000026.1	417797
HG01361	haplotype1	HG01361#1#JAGYYX020000020.1	389652
HG01361	haplotype1	HG01361#1#JAGYYX020000075.1	333762
HG01361	haplotype1	HG01361#1#JAGYYX020000034.1	297453
HG01361	haplotype1	HG01361#1#JAGYYX020000029.1	289085
HG01361	haplotype1	HG01361#1#JAGYYX020000039.1	278827
HG01361	haplotype1	HG01361#1#JAGYYX020000078.1	218724
HG01361	haplotype1	HG01361#1#JAGYYX020000043.1	203267
HG01361	haplotype1	HG01361#1#JAGYYX020000021.1	192873
HG01361	haplotype1	HG01361#1#JAGYYX020000041.1	185852
HG01361	haplotype1	HG01361#1#JAGYYX020000067.1	179329
HG01361	haplotype1	HG01361#1#JAGYYX020000031.1	179291
HG01361	haplotype1	HG01361#1#JAGYYX020000033.1	175631
HG01361	haplotype1	HG01361#1#JAGYYX020000074.1	169766
HG01361	haplotype1	HG01361#1#JAGYYX020000073.1	157190
HG01361	haplotype1	HG01361#1#JAGYYX020000028.1	156316
HG01361	haplotype1	HG01361#1#JAGYYX020000037.1	152965
HG01361	haplotype1	HG01361#1#JAGYYX020000030.1	145907
HG01361	haplotype1	HG01361#1#JAGYYX020000038.1	144042
HG01361	haplotype1	HG01361#1#JAGYYX020000035.1	136299
HG01361	haplotype1	HG01361#1#JAGYYX020000015.1	134086
HG01361	haplotype1	HG01361#1#JAGYYX020000047.1	128517
HG01361	haplotype1	HG01361#1#JAGYYX020000032.1	128006
HG01361	haplotype1	HG01361#1#JAGYYX020000018.1	123570
HG01361	haplotype1	HG01361#1#JAGYYX020000024.1	117468
HG01361	haplotype1	HG01361#1#JAGYYX020000036.1	99236
HG01361	haplotype1	HG01361#1#JAGYYX020000042.1	95486
HG01361	haplotype1	HG01361#1#JAGYYX020000040.1	94430
HG01361	haplotype1	HG01361#1#JAGYYX020000023.1	90453
HG01361	haplotype1	HG01361#1#JAGYYX020000058.1	85394
HG01361	haplotype1	HG01361#1#JAGYYX020000019.1	83527
HG01361	haplotype1	HG01361#1#JAGYYX020000083.1	78335
HG01361	haplotype1	HG01361#1#JAGYYX020000082.1	77921
HG01361	haplotype1	HG01361#1#JAGYYX020000081.1	76509
HG01361	haplotype1	HG01361#1#JAGYYX020000016.1	75978
HG01361	haplotype1	HG01361#1#JAGYYX020000046.1	74886
HG01361	haplotype1	HG01361#1#JAGYYX020000080.1	71551
HG01361	haplotype1	HG01361#1#JAGYYX020000044.1	71246
HG01361	haplotype1	HG01361#1#JAGYYX020000079.1	68936
HG01361	haplotype1	HG01361#1#JAGYYX020000022.1	68183
HG01361	haplotype1	HG01361#1#JAGYYX020000085.1	66240
HG01361	haplotype1	HG01361#1#JAGYYX020000084.1	65587
HG01361	haplotype1	HG01361#1#JAGYYX020000048.1	57997
HG01361	haplotype1	HG01361#1#JAGYYX020000045.1	54316
HG01361	haplotype1	HG01361#1#JAGYYX020000025.1	51615
HG01361	haplotype1	HG01361#1#JAGYYX020000077.1	51254
HG01361	haplotype1	HG01361#1#JAGYYX020000076.1	50879
HG01361	haplotype2	HG01361#2#CM089035.1	247928664
HG01361	haplotype2	HG01361#2#CM089036.1	242427123
HG01361	haplotype2	HG01361#2#CM089037.1	204231325
HG01361	haplotype2	HG01361#2#CM089038.1	191689747
HG01361	haplotype2	HG01361#2#CM089039.1	184049821
HG01361	haplotype2	HG01361#2#CM089040.1	173762270
HG01361	haplotype2	HG01361#2#CM089050.1	154768081
HG01361	haplotype2	HG01361#2#CM089041.1	146264433
HG01361	haplotype2	HG01361#2#CM089044.1	136677714
HG01361	haplotype2	HG01361#2#CM089043.1	136098967
HG01361	haplotype2	HG01361#2#CM089045.1	133673617
HG01361	haplotype2	HG01361#2#CM089042.1	132508536
HG01361	haplotype2	HG01361#2#JAGYYW020000057.1	102390729
HG01361	haplotype2	HG01361#2#JAGYYW020000008.1	99736287
HG01361	haplotype2	HG01361#2#JAGYYW020000003.1	98854174
HG01361	haplotype2	HG01361#2#CM089046.1	95022030
HG01361	haplotype2	HG01361#2#JAGYYW020000010.1	94942795
HG01361	haplotype2	HG01361#2#CM089047.1	77856469
HG01361	haplotype2	HG01361#2#CM089048.1	67393101
HG01361	haplotype2	HG01361#2#JAGYYW020000060.1	61021001
HG01361	haplotype2	HG01361#2#JAGYYW020000058.1	58452720
HG01361	haplotype2	HG01361#2#JAGYYW020000011.1	56785025
HG01361	haplotype2	HG01361#2#CM089049.1	49918323
HG01361	haplotype2	HG01361#2#JAGYYW020000013.1	38983992
HG01361	haplotype2	HG01361#2#JAGYYW020000064.1	24817740
HG01361	haplotype2	HG01361#2#JAGYYW020000065.1	4751058
HG01361	haplotype2	HG01361#2#JAGYYW020000068.1	4170827
HG01361	haplotype2	HG01361#2#JAGYYW020000061.1	3652950
HG01361	haplotype2	HG01361#2#JAGYYW020000069.1	2909655
HG01361	haplotype2	HG01361#2#JAGYYW020000072.1	2497056
HG01361	haplotype2	HG01361#2#JAGYYW020000073.1	958408
HG01361	haplotype2	HG01361#2#JAGYYW020000014.1	657881
HG01361	haplotype2	HG01361#2#JAGYYW020000028.1	625530
HG01361	haplotype2	HG01361#2#JAGYYW020000015.1	416618
HG01361	haplotype2	HG01361#2#JAGYYW020000016.1	404583
HG01361	haplotype2	HG01361#2#JAGYYW020000022.1	370495
HG01361	haplotype2	HG01361#2#JAGYYW020000019.1	353417
HG01361	haplotype2	HG01361#2#JAGYYW020000020.1	328569
HG01361	haplotype2	HG01361#2#JAGYYW020000021.1	278352
HG01361	haplotype2	HG01361#2#JAGYYW020000066.1	236008
HG01361	haplotype2	HG01361#2#JAGYYW020000051.1	227508
HG01361	haplotype2	HG01361#2#JAGYYW020000039.1	225229
HG01361	haplotype2	HG01361#2#JAGYYW020000025.1	224188
HG01361	haplotype2	HG01361#2#JAGYYW020000070.1	217138
HG01361	haplotype2	HG01361#2#JAGYYW020000026.1	185367
HG01361	haplotype2	HG01361#2#JAGYYW020000033.1	181897
HG01361	haplotype2	HG01361#2#JAGYYW020000067.1	173203
HG01361	haplotype2	HG01361#2#JAGYYW020000071.1	170834
HG01361	haplotype2	HG01361#2#JAGYYW020000079.1	165319
HG01361	haplotype2	HG01361#2#JAGYYW020000023.1	158418
HG01361	haplotype2	HG01361#2#JAGYYW020000031.1	158404
HG01361	haplotype2	HG01361#2#JAGYYW020000074.1	135789
HG01361	haplotype2	HG01361#2#JAGYYW020000029.1	131811
HG01361	haplotype2	HG01361#2#JAGYYW020000030.1	109895
HG01361	haplotype2	HG01361#2#JAGYYW020000018.1	109076
HG01361	haplotype2	HG01361#2#JAGYYW020000081.1	106224
HG01361	haplotype2	HG01361#2#JAGYYW020000017.1	102679
HG01361	haplotype2	HG01361#2#JAGYYW020000078.1	101689
HG01361	haplotype2	HG01361#2#JAGYYW020000037.1	100887
HG01361	haplotype2	HG01361#2#JAGYYW020000024.1	98465
HG01361	haplotype2	HG01361#2#JAGYYW020000034.1	92223
HG01361	haplotype2	HG01361#2#JAGYYW020000045.1	87591
HG01361	haplotype2	HG01361#2#JAGYYW020000041.1	82486
HG01361	haplotype2	HG01361#2#JAGYYW020000032.1	79207
HG01361	haplotype2	HG01361#2#JAGYYW020000082.1	77921
HG01361	haplotype2	HG01361#2#JAGYYW020000080.1	77779
HG01361	haplotype2	HG01361#2#JAGYYW020000038.1	77745
